 ,Energy (Wh)
2022-04-23,0
2022-04-22,0
2022-04-21,0
2022-04-20,0
2022-04-19,0
2022-04-18,0
2022-04-17,0
2022-04-16,0
2022-04-15,0
2022-04-14,0
2022-04-13,0
2022-04-12,0
2022-04-11,0
2022-04-10,0
2022-04-9,0
2022-04-8,0
2022-04-7,181
2022-04-6,3116
2022-04-5,3619
2022-04-4,4085
2022-04-3,4765
2022-04-2,4107
2022-04-1,5097
2022-03-31,4695
2022-03-30,3526
2022-03-29,2571
2022-03-28,6986
2022-03-27,8611
2022-03-26,8365
2022-03-25,8310
2022-03-24,7367
2022-03-23,6388
2022-03-22,7593
2022-03-21,5953
2022-03-20,8455
2022-03-19,8186
2022-03-18,8372
2022-03-17,8692
2022-03-16,8590
2022-03-15,8451
2022-03-14,8033
2022-03-13,3145
2022-03-12,8527
2022-03-11,3831
2022-03-10,5367
2022-03-9,6228
2022-03-8,8795
2022-03-7,6808
2022-03-6,8420
2022-03-5,8538
2022-03-4,8458
2022-03-3,5362
2022-03-2,6105
2022-03-1,8507
2022-02-28,6013
2022-02-27,8744
2022-02-26,8544
2022-02-25,8015
2022-02-24,8557
2022-02-23,8687
2022-02-22,8612
2022-02-21,6810
2022-02-20,7006
2022-02-19,8148
2022-02-18,8653
2022-02-17,8731
2022-02-16,7290
2022-02-15,4367
2022-02-14,8984
2022-02-13,5897
2022-02-12,7878
2022-02-11,8568
2022-02-10,6278
2022-02-9,5253
2022-02-8,8472
2022-02-7,8349
2022-02-6,7332
2022-02-5,9036
2022-02-4,8913
2022-02-3,4642
2022-02-2,3335
2022-02-1,8314
2022-01-31,8374
2022-01-30,8592
2022-01-29,8539
2022-01-28,6863
2022-01-27,8376
2022-01-26,8036
2022-01-25,8741
2022-01-24,7203
2022-01-23,7213
2022-01-22,5304
2022-01-21,4937
2022-01-20,6060
2022-01-19,8518
2022-01-18,4801
2022-01-17,8646
2022-01-16,7530
2022-01-15,6641
2022-01-14,9473
2022-01-13,9029
2022-01-12,8567
2022-01-11,5168
2022-01-10,6885
2022-01-9,6234
2022-01-8,8698
2022-01-7,8705
2022-01-6,8255
2022-01-5,6515
2022-01-4,8701
2022-01-3,8393
2022-01-2,8927
2022-01-1,4518
